# 10/09/2025 10:45:02 AM: Prices - EPEX Spot Market Auction - austria - Currency: EUR,__parsed_extra
Delivery day,"Hour 1,Hour 2,Hour 3A,Hour 3B,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15,Hour 16,Hour 17,Hour 18,Hour 19,Hour 20,Hour 21,Hour 22,Hour 23,Hour 24,Minimum,Maximum,Baseload,Peakload,Off-peak,Off-peak 2,Off-peak 1,Night,Late morning,Early afternoon,Evening,Early morning,Business,Afternoon,Middle night,Morning,High noon,Rush hour,Sun peak"
11/09/2025,"80.72,77.33,70.05,,64.83,65.65,77.42,108.57,123.07,117.69,108.27,79.03,65.6,55.22,49.23,70.06,79.87,90.37,109.37,114.34,161.57,134.61,108.09,103.37,99.59,49.23,161.57,92.25,91.72,92.78,111.42,83.46,72.67,92.65,63.6,120.26,93.68,78.12,87.42,73.23,114.4,62.27,118.91,66.5"
10/09/2025,"99.64,95.35,93.5,,93.82,93.01,101.34,130,212.31,151.73,123.6,115.95,113.78,100.51,95.47,100.21,103.91,117.74,122.96,154.85,252.39,157.7,107.67,93.19,83.4,83.4,252.39,121.42,129.43,113.41,110.49,114.87,96.11,126.27,100.03,141.53,134.17,113.15,111.21,95.58,154.41,106.43,161.99,104.97"
09/09/2025,"110.31,104.11,103.59,,103.93,104.21,115.95,181.52,294.59,183.49,120.97,103.9,97.34,86.06,86.05,90.23,98.26,109.34,124.73,188.14,380.24,201.79,128,114.8,107.6,86.05,380.24,,,,,,,,,,,,,,,,,"
08/09/2025,"84.49,87.87,87.38,,88.18,89.67,100.34,117.6,141.37,123.27,101.65,85.83,77.02,66.24,62.21,71.64,82.03,103.99,120.23,189.85,413.66,305.43,144.58,120.5,110.39,62.21,413.66,,,,,,,,,,,,,,,,,"
07/09/2025,"81.64,77.07,73.24,,75.62,75.17,74.97,73.56,50.71,0,-0.09,-4,-20.09,-40.02,-53.4,-39.45,-19.47,-2.16,48.11,101.16,114.02,120.03,105.97,98.21,91.14,-53.4,120.03,,,,,,,,,,,,,,,,,"
06/09/2025,"102.69,102.99,102.85,,102.14,101.25,102.08,96.32,94.19,99.97,83.63,11.99,0,-0.02,-0.86,-0.99,-0.01,47.24,93.52,105.58,148.14,129.27,104.96,103.96,82.71,-0.99,148.14,,,,,,,,,,,,,,,,,"
05/09/2025,"100.65,86.75,82.84,,81.82,81.64,94.34,114.08,126.57,120.78,101.96,91.73,89.89,83.1,76.36,75.11,82.22,94.54,110,112.61,148.04,140.07,115.36,105.66,98.97,75.11,148.04,,,,,,,,,,,,,,,,,"
04/09/2025,"92.93,87.29,74.82,,77.64,79.89,97.35,114.99,120,107.29,74.3,39.14,5.79,3.2,3.2,31.52,63.86,98.9,110.77,174.4,304.61,219.55,124.23,108.92,102.98,3.2,304.61,,,,,,,,,,,,,,,,,"
03/09/2025,"103.94,82.65,80.39,,74.07,81.03,98.9,104.62,106.59,101.97,79.77,42.05,8.91,5.78,5.97,7.66,41.37,71.08,102.95,114.94,147.95,131.99,103.97,102.96,102.92,5.78,147.95,,,,,,,,,,,,,,,,,"
02/09/2025,"86.98,84.2,86.86,,87.14,89.5,99,118.8,138.09,133.39,103.94,101.94,101.94,93.55,74.02,69.98,75.32,98.9,108.71,146.36,278.67,236.51,127.26,102.99,99,69.98,278.67,,,,,,,,,,,,,,,,,"
01/09/2025,"89.33,89.14,87.95,,86.89,88.69,98.73,113.97,117.38,108.84,100.01,72.64,64.23,40.25,23.12,39.33,71.01,83.13,110.93,125.91,220.25,195.33,119.71,108.31,97.72,23.12,220.25,,,,,,,,,,,,,,,,,"
31/08/2025,"80.6,71.47,63.96,,60.32,57.26,69.93,70.51,67.09,22.31,5.38,0.01,-0.02,-0.11,-1,-0.61,0,27.6,86.89,111.77,127.25,125.6,110.53,100.08,88.38,-1,127.25,,,,,,,,,,,,,,,,,"
30/08/2025,"94.63,89.3,85.33,,81.51,87.11,92.79,91.55,92.55,87.47,82.7,38.46,5.23,0,0,0,10,55.7,92.21,107.33,114.92,124.81,112,98.97,84.93,0,124.81,,,,,,,,,,,,,,,,,"
29/08/2025,"85.3,86.88,86.61,,87.71,89.89,98.32,109,111.75,112.64,102.23,88.08,77.54,66.08,57.28,65.66,82.32,93.43,114.99,114.99,143.77,129.25,112.47,99.13,89.2,57.28,143.77,,,,,,,,,,,,,,,,,"
28/08/2025,"97.15,92.1,88.07,,88.37,92.22,97.18,117.93,119.92,84.05,5.85,-8.07,-40,-40.17,-42.67,-19.99,0.52,79.09,114.99,141.62,143.71,143.79,119.98,105.77,90.73,-42.67,143.79,,,,,,,,,,,,,,,,,"
27/08/2025,"98.41,90.17,86.7,,88.4,91.72,99.6,109.98,115.53,113.64,101.63,75.08,73.09,61.05,46.94,49.65,77.54,86.79,107.29,128.28,208.1,208.51,126.12,113.63,103.57,46.94,208.51,,,,,,,,,,,,,,,,,"
26/08/2025,"104.68,101.66,99.04,,97.68,99.89,102.17,119.29,120,105.85,90,65,57.3,38.76,26.28,38.05,73.76,90.57,105.46,120.1,184.92,177.36,124.37,109.65,99.08,26.28,184.92,,,,,,,,,,,,,,,,,"
25/08/2025,"95.28,87.03,82.58,,79.71,80.64,99.74,111.91,120.5,106.87,91.97,68.89,35.02,10,5.93,6.78,25.2,65.06,90.51,108.96,152.79,215.54,136.31,115.04,105.15,5.93,215.54,,,,,,,,,,,,,,,,,"
24/08/2025,"100.5,95.11,93.62,,91.18,90.15,90.36,90,84.66,67.06,3.28,-0.01,-0.07,-1.98,-7.45,-7.4,-0.1,0,68.24,102.63,109.31,117,114.32,107.5,100.52,-7.45,117,,,,,,,,,,,,,,,,,"
23/08/2025,"95.33,89.32,86.91,,84.34,84.38,84.79,86.35,86.73,82.84,71.01,18.92,3.36,1.34,0.06,0.15,3.52,13.5,81.26,101.48,111.25,122.22,120.02,111.16,104.97,0.06,122.22,,,,,,,,,,,,,,,,,"
22/08/2025,"86.65,78.53,74.81,,73.02,71.82,82.18,101.92,103.26,98.56,89.54,70,41.46,17.46,6.47,2.62,6.33,44.8,71.03,92.12,103.03,111.99,106.98,102.88,94.37,2.62,111.99,,,,,,,,,,,,,,,,,"
21/08/2025,"95.99,83.65,83.1,,85.42,86.17,100.93,108.54,108.99,103.93,101.23,90.75,82.98,74.68,72.01,89.74,92.49,105.49,103.99,106.33,120.1,125.05,105.37,99.55,90.37,72.01,125.05,,,,,,,,,,,,,,,,,"
20/08/2025,"96.52,91.65,86.25,,84.2,88,96.86,106.94,107.04,103.02,82.14,69.95,68.06,47.4,35,41.3,69.51,77.31,103.84,115.69,131.04,126.97,112.82,104.93,99.87,35,131.04,,,,,,,,,,,,,,,,,"
19/08/2025,"100.38,93.38,86.89,,84.77,88.13,100.37,109,108.39,98.05,88.57,69.64,43.23,24.45,25.43,34.9,54.16,71.46,93.68,108.91,127.57,152.16,113.19,104.12,98.9,24.45,152.16,,,,,,,,,,,,,,,,,"
18/08/2025,"90.29,85.74,82.92,,80.94,86.1,96.68,113.52,118.91,104.91,87.69,71.06,45.93,20.04,14.23,18.34,54.56,72.94,98.91,110,177.2,200.47,124.56,106.51,99.26,14.23,200.47,,,,,,,,,,,,,,,,,"
