# 22/09/2025 10:45:02 AM: Prices - EPEX Spot Market Auction - germany_luxembourg - Currency: EUR,__parsed_extra
Delivery day,"Hour 1,Hour 2,Hour 3A,Hour 3B,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15,Hour 16,Hour 17,Hour 18,Hour 19,Hour 20,Hour 21,Hour 22,Hour 23,Hour 24,Minimum,Maximum,Baseload,Peakload,Off-peak,Off-peak 2,Off-peak 1,Night,Late morning,Early afternoon,Evening,Early morning,Business,Afternoon,Middle night,Morning,High noon,Rush hour,Sun peak"
23/09/2025,"88.6,90,89.73,,89.93,91.34,98.11,122.01,172.36,162.8,125.76,93.92,85.51,77.54,74.24,74.25,84.11,85.76,102.9,136.83,149.58,115.81,94,84.91,84.1,74.24,172.36,103.09,104.43,101.74,94.71,105.26,91.29,117,77.54,110.87,120.96,97.27,86.76,89.57,145.73,82.8,118.77,81.6"
22/09/2025,"87.33,83.57,79.21,,79.21,80.35,93.59,118.69,130,130,108.57,91.82,77.86,74.04,71.17,70.23,78.39,84.79,100.13,128.08,140.92,130,114.24,97.72,89.99,70.23,140.92,97.5,96.33,98.66,107.99,93.99,83.88,102.06,73.46,116.83,105.66,87.76,83.39,82.33,121.82,78.72,113.48,77.25"
21/09/2025,"8.07,3.7,3.46,,1.65,2.08,3.23,4.41,5.23,3.01,1.31,0,-0.09,-1.2,-2.02,-1.31,-0.01,9.47,85.18,113.96,120.57,118.84,104.68,96.35,91.68,-2.02,120.57,32.18,27.41,36.95,102.89,3.98,3.7,1.06,-1.14,107.68,3.74,-0.04,23.33,4.22,3.49,-0.83,82.3,-0.77"
20/09/2025,"87.24,77.91,74.99,,74.8,74.79,80.21,88.51,86.97,75.29,24.9,3.02,-0.28,-6.1,-10.86,-5.1,-0.04,26.36,93.84,124.58,134.1,99.08,81.95,74.5,48.3,-10.86,134.1,58.71,38.31,79.1,75.96,80.68,78.32,25.73,-5.53,93.75,82.62,10.1,28.77,78.74,68.92,-3.56,94.72,-3.23"
19/09/2025,"74.09,72.47,73.45,,73.7,74.02,89.59,118.92,143.42,118.29,95.18,53.7,13.03,0.99,0,0,11.97,74.46,119.44,255.21,409.24,167.59,111.82,86.04,78.93,0,409.24,96.48,95.96,97,111.1,89.96,76.22,70.05,3.24,184.81,106.49,36.65,51.47,73.43,118.95,16.93,214.59,13.28"
18/09/2025,"53.12,48.29,38.47,,37.96,48.12,74.15,105.81,117.21,111.28,90.8,65.1,5.89,0.2,0,0,0.52,15.31,89.79,115.45,134.23,128.68,110,98.94,88.2,0,134.23,65.73,52.38,79.08,106.46,65.39,50.02,68.27,0.18,112.58,86.32,34.22,26.41,44.46,106.28,17.8,88.7,11.95"
17/09/2025,"70.8,63.47,50.95,,48.53,60.01,73.82,98.85,117.34,112.74,95.14,69.14,41.38,10.5,7.88,10.59,43.09,81.17,110,123.31,142.58,123.52,94.2,86.1,73.07,7.88,142.58,75.34,70.63,80.06,94.22,72.97,61.26,79.6,18.02,107.13,87.51,48.81,61.21,58.44,106.02,32.23,114.27,30.43"
16/09/2025,"-0.01,-0.09,-0.23,,-1.05,-1.33,-0.01,2.32,16.21,3.81,-1.01,-5.11,-10.38,-20.05,-18.03,-11.17,-9.99,-3.24,0,72.64,103.33,112.97,92.97,80.55,65.44,-20.05,112.97,19.52,8.4,30.65,87.98,1.98,-0.45,-3.17,-14.81,87.98,4.3,-8.99,-6.1,-0.35,5.33,-13.39,43.18,-12.46"
15/09/2025,"20,3.87,1.39,,0.01,0,0.9,20.27,54.31,40.4,0.9,-0.47,-2.61,-8,-14.27,-13.7,-8.9,-5.24,-0.53,14.01,53.93,47.37,5.33,2.91,0.06,-14.27,54.31,8.83,4.63,13.04,13.92,12.59,4.36,9.56,-11.22,20.6,18.87,-0.83,-7.09,6.32,28.97,-6.34,15.54,-7.99"
14/09/2025,"85.69,77.57,80.61,,85.93,93.77,99.82,100.75,105.36,108.48,87.78,61.68,17.58,6.52,0,-0.01,0,19.33,98.2,124.34,153.29,126.01,97.37,77.02,14.27,-0.01,153.29,71.72,56.43,87.01,78.67,91.19,87.23,68.88,1.63,98.72,99.93,35.25,29.38,82.45,100.59,21.45,98.79,14.3"
